content,sentimen,aspek
Pelayanan buruk. Cs service nya ga membantu sama sekali malah bikin bingung. Mohon diperbaiki. Saya beli pulsa belum masuk tetapi tdk ada jawaban yg bisa membantu dari cs service nya,negatif,Responsiveness
"Aplikasi belanja online favorit saya, selain Lazada dan Tokopedia. Barang ori bisa didapatkan di fitur Shopee Original 100% atau beli di Official Store. Pengiriman cepat sesuai ekspetasi",positif,Fulfillment
"Sy psn gulaku premium hijau ssd yg tertulis dietalase foto,yg dikirim gulaku kuning,pengajuan pengembalian brg & dana Sy ditolak,seller bilg priduk yg dikirim sdh sesuai,Sy sdh ajukan pengembalian 2x,kirim semua bukti foto,sayangnya sy tdk unboxing krn percaya seller dg review *5,ttp aja tdk diterima. Katanya tidak cukup bukti. rupanya shopee lbih berpihak & percaya ke seller drpd ke customer,uang 80ribu sangat berarti buat Sy. KECEWA..",negatif,Compensation
aplikasi Shopee udah bagus cuman sedikit nge lag aja kalo mau mencet sesuatu lumayan lemot tapi untuk yang lain nya sudah bagus yaa ðŸ‘ðŸ‘,negatif,Efficiency
Banyak ada penipuan penipuan gt kasian liat orangnya tolong pihak sopi kalo ada yg begitu tolong di blok aja dan saldonya gausa dikasi ke penjualnya makasi,negatif,Privacy
Respon CS LAMA!!! Ga ada respon!!! Resign aja bgst!!!! Semoga cepat tutup ya shopee indonesia!!!,negatif,Responsiveness
Aplikasi ini tidak menyediakan saluran komunikasi yang efektif antara penjual dan pembeli krn hnya ada 1 cara yaitu melalui obrolan chat,negatif,Contact
Barangnya realpict... pengiriman sesuai dgn tgl nya. Reseller nya ramah ..kurirnya baik dan cepet prosesnya. Ok deh pokoknya,positif,Fulfillment
"1. Saya pernah kehilangan barang, tpi video unboxing tdk bisa bisa diupload krn trlalu panjang 2. Saya pernah ingin mengembalikan barang ke Kurir SPX tpi ditolak diSuruh mengembalikan via Aplikasi, tapi Saudara saya prnh mngembalikan barang via kurir JNT justru diterima dgn baik 3. Klausul pengembalian barang terlalu ribet seolah2 tdk berpihak kepada konsumen yg telah dirugikan 4. Mohon kepada pihak shopee agar lebih ketat lagi Audit & Pengawasan nya terhadap masalah2 sepele yg sering terjadi",negatif,Compensation
"Belanja di shopee lumayan bagus murah dan terpercaya, tetapi ada satu barang yg salah kirim penjual nya tapi ngga papa masih bisa di balik kan uang dan barang nya.",positif,Compensation
Shopee apk belanja online paling aman menurutku,positif,Privacy
"Ni pihak shoope gimana sih anj, masa uang 248 ribu ludess, tanpa ada transaksi dan persetujuan, bahkan pembayaran apa pun tidak tercantum di riwayat!!!!! Ga aman, kecewa berat saya simpan uang di shoope pay",negatif,Privacy
Semua barang yg dikirim tiba dgn tepat waktu dalam kondisi baik trimakasih Shopee..,positif,Fulfillment
"Aplikasi nya sangat bagus dan mudah untuk digunakan berbelanja online,tidak perlu susah payah kemana"" kalau kita magerðŸ¤£âœŒï¸ ke Shoope aja kalau gk lazada Sekian dan terimakasih ðŸ™ðŸ™",positif,Efficiency
"Ini gimana sih, kalo stiap kali mau hapus barang di troli susah mau dihapus, udah gitu sering gambar susah di klik trs ini mau update malah gbs pdhl mau bikin akun ke2. PlsssssssðŸ’€",negatif,Efficiency
"Keren ada spaylater jadi bisa beli barang tapi bayar nanti, alhamdulillah bayar spaylater aman lancar jadi ga telat bayar. Sering sering ada diskon klo pake spaylater yahh",positif,System Availability
"Ulasan tambahan, makin parah ini apk shopee. Udah saya pastiin cache, memory internal hp/ram, koneksi, semua aman. Topup saldo tetap susah, skrg yg paling parah pas mau ceckout sampe beberapa kali di gagalkan oleh system. Berenti juga langganan pake shopee kalo pelayanan sama systemnya jelek gini! Perbaiki bug nya tolong. Terimakasih",negatif,System Availability
"Suka, selalu ada gratis ongkir, barang"" nya bagus, pengiriman paket nya juga cepet, toko"" nya amanah, thx Shopee",positif,Fulfillment
"Shopee makin gokil.. Akun di nonaktifkan krn terhubung dengan akun penunggak padahal gak kenal, apa ada kebocoran data? orang lain kok terhubung ke akun saya. Saya udah kirim foto KTP dan KK beberapa kali tapi masih belum bisa di proses, jadi gak bisa belanja lagi Sangat memprihatinkan..",negatif,Privacy
Setahu aku dan sepengalaman aku berbelanja disini data pengguna di shopee ini dilindungi dengan baik dan tidak tersebar ke pihak tidak bertanggung jawab karena ada keamanan server pengelolaan serta penyimpanan data yang bagus jadi tidak was was berbelanja,positif,Privacy
"udah tergolong aplikasi besar tapi pelayanannya amat sangat buruk. andai ada bintang 0 mungkin akan sy kasih bintang 0 saking jeleknya. seminggu yg lalu sy lapor ada kendala terkait verif ktp tapi ga ada respon. respon cuma minta foto ktp, ss kendala, usn, gituuu terus diulang2!!! terakhir kali dmku ga dibales, pas sy tanya kejelasannya malah minta ktp lagi-_- jadi kesimpulannya, gak becus.",negatif,Responsiveness
Terima kasih atas respon tim shopee perihal menanggapi keluhan penggunanya dengan cepat,positif,Responsiveness
Aplikasi ini tidak menyediakan nomor telepon yang jelas untuk menghubungi penjual jadi gaada alternatif lain kalau ada kendala di fitur chat dengan penjual,negatif,Contact
Shopee good. Pesanan selalu sampai dan menyenangkan....have fun. Kemasan rapi ....barang yang dipesan ... aman tidak rusak baik itu tanaman atsulun barang mati.,positif,Fulfillment
"Dan terjadi lagi, shoope lebih pro ke penjual walau penjual jelas salah, pengembalian dana saja sampai 1 minggu, padahal data dan fotonya udah jelas penjual tdk mengirim sampai 4 hari, kok masih perlu di selidiki kendala dan lain2, penjual juga gak koperatif, habis barang terakhir sampe, saya stop belanja di shoope makin lama makin hancur aja pelayanan dan systemnya.",negatif,Compensation
"tambah update bukannya tambah baik, malah makin banyak bug ini aplikasi, masa tiap mau lacak pengiriman selalu blank gak nampilin apa2",negatif,System Availability
Pelayanan pelanggan yang cepat tanggap sangat memuaskan. Mereka selalu sigap menangani masalah atau pertanyaan yang saya ajukan,positif,Responsiveness
"Sudah banyak berubah ke arah lebih baik. Sudah mulai logistik bisa di liat. Dan refund dana sangat mebantu, CS yang selalu membantu",positif,Compensation
"Alhamdulillah data saya terprotect dengan baik, spay later saya dan spay saya aman. Jgn sampai tiba2 ada orang lain menggunakan spay later saya tapi saya yg membayarnya, jgn sampai...",positif,Privacy
"suka banget sama apl shopee ,, sangat membantu sekali untuk perbelanjaan",positif,Efficiency
Aplikasi ternama dan paling banyak digunakan oleh orang.sangatvmembatu bebelanja online. Seneng aja pake shopy .untuk masukan lebih di perbanyak diskon dan promo aja .jd seler senang pembeli juga senang.,positif,Efficiency
Pesanan yang setiap saya pesan sudah sesuai foto yang telah di terapkan oleh pihak shoppe terimakasih saya sangat senang berbelanja di aplikasi shoppe ini semogo sukses terus dan terus maju kedepannya,positif,Fulfillment
"Saya dari dulu kalau blanja online pakai Shopee, tapi skrg saya kecewa sama Shopee ketika saya mau retur barang, tanpa ada intrusi yg jelas dan tipa2 uang saya di teruskan ke seller, sedangkan seller ngirim barang yg tidak sesuai yg saya inginkan, sekarang saya milih online shop lokal, karna Shopee telah bikin saya kecewa!!!",negatif,Compensation
"Sering bermasalah. Menghubungi CS juga tidak membantu, solusi nya itu2 aja, tapi masalah masih ada, disuruh menunggu 1x24 jam, terlalu lama. Mengapa tidak langsung ditindak saja?, Begitukah seharusnya Customer Service??? Solusi Clear Chace, restart Hp, hapus apl lalu diinstal lagi, dll. Sudah basi. Dikira Hp kami tidak kuat apa dengan Apl Shoope?. Apl nya aja sering error. Dah kecewa gw",negatif,Responsiveness
"Terima kasih buat customer service shope, pelayanan yg sangat buruk, soalnya customer udh di telpon ampe 5 org jawabannya sama semua lg bantu cek, tapi gada hasil gada kabar",negatif,Responsiveness
"Tolong bantu jelaskan, Saya Top up saldo e-money/Brizzi di shopee, sampai sekarang saldo belum terisi. Bahkan saya ajukan pengembalian, pengembalian saya di tolak. Apaka seperti ini pihak shopee menipu konsumen? Padahal saya berlangganan di shopee sudah lama dari tahun 2021. Tolong bantu, sebelum kasus ini berlanjut lebih dalam.",negatif,Compensation
"Sangat membantu, tp lemotnya gag ketulungan, raja lelet sejak ada ShopeeVideo, ShopeeBarokah, dkk. Br bk loading, br bk blank, kmbali ke dpn lg, trus jd sgt sgt menyita byk waktu, kuota, n belanja jd malasssss, kbnyakan game gag mutu gag dapetin koin malah harus kluar koin... ðŸ‘Ž",negatif,Efficiency
Penjual kalau offline di toko aplikasi jadi tidak bisa dihubungi sedangkan shopee hanya menyediakan fitur chat dan tidak ada informasi kontak penjual jika ada yang mau ditanyakan,negatif,Contact
"Pertanyaan saya dijawab dengan cepat oleh agen, ditingkatkan ya",positif,Responsiveness
Aplikasi e-commerce ini luar biasa! Ada kontak penjual jadi bisa menghubungi penjual terkait pesanan,positif,Contact
Shopee tidak memiliki sistem keamanan yang kuat. Harus meningkatkan langkah-langkah keamanan untuk melindungi data pelanggan dengan lebih baik,negatif,Privacy
"Dulu ada nama kurir sama nomer wa skrng knp tidak ada. Kurirnya banyak yang ga amanah, mau ditelpon ada kendala pun gabisa. Tolong dong yaaa untuk kurir kurir yg ga amanah itu pecat aja.",negatif,Contact
"Makin lama makin lambat aplikasinya, loading sering lama, padahal sudah hapus cache, tetapi tetap aja masih lambat, tidak selancar apk yg lain, makin parah ni aplikasi apknya terlalu berat",negatif,Efficiency
Kenapa shopee makin kesini makin lelet ya. Mau buka susah banget ðŸ˜­ðŸ˜­. Cuma berputar-putar. Semakin di update semakin gak bisa digunakan. Lelet muter doang,negatif,Efficiency
Diupdate per 21 maret 2023 malah error. Ngadat di bagian pembayaran. Mau belanja kok dipersulit. Loading 0% terus pake shopeepay. Nggak niat nih.,negatif,System Availability
pengiriman cepat dan terjamin.... ðŸ’ž,positif,Fulfillment
"Aku senang sekali belanja di shopee memudahkan aku untuk bisa membeli barang kebutuhan aku,dan barang2 di shopee sangat realpic dan murah ongkir,,,",positif,Efficiency
"Mau kasih bintang 1 buat shopee yg terlalu pintar, penjual dan pembeli berada di 1 kota (bogor) tapi setelah 3 hari lebih pesanan ga diterima saya lacak, ternyata shopeexpress kurang kerjaan, barang malah dibawaÂ² dulu ke cakungðŸ¤¦ðŸ¤¦ðŸ¤¦, pinter banget kan.....",negatif,Fulfillment
"Punya kendala sama penjual minta di cancel ditolak pesanannya, minta bantuan ke cs jawabannya juga ga ada ngebantu juga cuman dijelasin status pengiriman.",negatif,Responsiveness
"ntap. tapi cuma ada sedikit kendala sama akun penipu. tolong di blockir untuk akun akun yg gak guna gitu min, nyusahin orang heheh...ðŸ™‚ðŸ—¿",negatif,Privacy
Tadinya saya mau kasih bintang 5 tapi setelah kejadian ini jadi sakit hati menurut aturan Spinjam jika cicilan telah lunas maka boleh mengajukan pinjaman dengan limit pinjaman yang tersedia tapi ternyata setelah saya lunasi cicilannya lebih cepat dari waktunya malah Spinjam saya seperti TERBLOKIR tidak bisa di klik sudah kirim keluhan lewat email malah sudah Telp langsung ke Spinjam nya yaitu PT. LENTERA DANA NUSANTARA semuanya tidak ada tanggapan yang baik semuanya suruh bilang menunggu ðŸ˜­,negatif,Responsiveness
"Pa shopee slalu begini skrang .setiap mau chekout brang tiba"" keluar dan ujung""nya notifikasi pesanan belum bayar...padahal udah mau bayar setiap kali mau tulis pin tp udh macet",negatif,System Availability
Mantap aplikasinya. Membantu sekali buat belanja kebutuhan dan tentunya harga bisa lebih murah.,positif,Efficiency
"Saya betul-betul menyarankan bagi semuanya.Bahwa Shopee paling Aman utk Belanja.Saya sdh 5 th jadi buyer di shoppe,Vocher Cashback dan free ongkir Banjir, ongkir return sebesar apapun barangnya ditanggung Shopee game jg menguntungkan dpt coin,nah utk pemakai Shopee harus di ingat, jaringan internet dan Hp harus kuat & stabil biar semua berjalan lancar, akhir kata SHOPEE IS BEST",positif,Compensation
Selama belanja di shopee tentunya tidak ada kendala.lancar.barang yg diminta sesuai dan kondisi baik pas saya terima... Semoga lebih ditingkatkan lagi pelayanannya juga bonusnya... Tefima kasih,positif,Fulfillment
"Shopee banyak barang kw kualitas di bawah standart dan ngga sesuai gambar, banyak yang ketipu karena ngga sesuai gambar mohon di perbaiki di bantu blokir untuk akun yang seperti itu. Saya jadi kesulitan untuk nyari barang yang berkualitas di Shopee sekarang.",negatif,Fulfillment
"Gokil ni Aplikasi makin kesini makin kesono, Jaringan buat download, nnton yt dll bagus bahkan nyentuh 3.5MB/s pas buka ni aplikasi kenapa DOWN 0.0KB/s kocak dah ni. Di si IJO LANCAR LANCAR AJA!!!",negatif,Efficiency
"Shopee memang selalu bisa di andalkan dalam segi fitur apapun,,",positif,System Availability
"Aplikasi ini sungguh memperhatikan kebutuhan pelanggan. Ketika pesanan saya tidak sesuai, mereka dengan cepat menggantikannya tanpa biaya tambahan",positif,Compensation
"maps shopeefood bisa mengetahui posisi pengemudi, jadi bisa mengetahui pesanan makanan sampai mana dan berjalan real time bagus",positif,System Availability
"Beli paket data/pulsa di shopee ko gabisa dipake?? Tapi dana nya tetep kepotong kan kocak. di refund proses nya setengah abad keburu kadaluarsa, ehh di next time beli pulsa lagi malah dibatalin sendiri sama sistem shopee nya ""pengembalian dana"". Duhh aplikasi tolol bikin rugi nyari duit lagi susah biasanya juga ngg bigini dasar apk busuk balikin dana gua woyy",negatif,Compensation
Belanja yg simpel praktis & byk pilihannya..terima kasih shoppee,positif,Efficiency
fitur transfer ke bank dapat diproses dengan lancar aman gratis biaya admin lagi bagus,positif,System Availability
Aplikasi ini bagus sekali buat belanja online dan geratis ongkir loh dan pengiriman cepat sekali saya kasih bintang enam deh untuk shopee shopee yang juara semangat shopee,positif,Fulfillment
"Sempet bingung karena akun keluar sendiri, masuk gk bisaÂ² coba masuk via google chrome juga sama saja, internet (wifi) sudah direstart juga gk bisa padahal aplikasi lain lain aman gk ada kendala jaringan juga, sampai akhirnya lelah dan coba pakai data ehh langsung lancar si shopeenya, mohon diperhatikan lagi ya Semoga kedepannya lebih baik lagi ya",negatif,System Availability
"Sumpah ya jgn suruh gue bersihin cache atau benerin jaringan, sm kek ulasan lain gue sll update jaringan stabil parah, tapi knp fitur spay sering bgt masalah. Blm lg layar ngefridge kalo lamaÂ² buka apl.. ini lg mau diupdate skrg tulisan loading udh 100% mlh notif update lg bukan buka abis diupdate, bikin emosiiiiiii, memperlambat kehidupan",negatif,System Availability
"Parah banget nih Aplikasi.... Lemot nya â­5 malah lebih lancar Aplikasi si hijau gak ada lemot nya ..... Parah asli ... Ingin cari sesuatu ja, sampe nunggu 2 sampai 5 menit ... Itu mah keburu jepang datang",negatif,Efficiency
"Adanya layanan komunikasi antara pihak shopee dengan pihak pembeli ini bagus layanannya, dipertahankan yaaa",positif,Contact
sangat puas dengan aplikasi shopee ini... belanja enak gak ribet dan cari barang pun mudah ðŸ˜…ðŸ¤£ðŸ¤˜,positif,Efficiency
"Selalu terjadi kesalahan sistem saat mau transfer ke bank lain. Sekalinya di tunggu, eh malah ""Anda terlalu sering memasukan rekening bank, mohon mencoba beberapa saat lagi. Capek hati!",negatif,System Availability
Aplikasi ini memberikan kemudahan dalam proses pengembalian barang yang tidak sesuai. Saya hanya perlu mengisi formulir pengembalian dan mereka segera mengirimkan penggantian,positif,Compensation
"Di aplikasi ini itu masalahnya nomor kurir pengantar paketnya tidak ada tertera disitu, terus siapa yg kita hub kalo paketnya sudah sampai ðŸ—¿",negatif,Contact
Shoppe..mohon d tinggkatkan lagi dong kualitas keamanan data pengguna..banyak penjual nakal yg kita gk pesen tiba2 datang pakek nama kita..ini keponakan aku hampir setiap hari dapat paket cod 70rb an padahal gk pesen.sampk di hapus akunya masih aja di pakek,negatif,Privacy
"Memuaskan belanja disini, sering ada pembaruan sistem terus ada verifikasi 2 langkah juga",positif,Privacy
"saldo shoppe pay saya ketarik otomatis oleh Google play store sebesar 54.390, padahal ga nyambung ke akun Google play saya terus akun Google play siapa yang tersambung? Security systemnya kurang melindungi shoppe pay ini, padahal untuk modal jualan",negatif,Privacy
"kak kenapa shopee video ku gk bisa muncul gambar nya...hitam terus cuma ada suaranya. udh 2 harian padahal kuota masih banyak, dan aplikasinya baru di update seminggu lalu",negatif,System Availability
Bagus. Barang yg saya suka ada dan seperti contoh di gambar iklan. Puas deh pokoknya belanja di shopee.,positif,Fulfillment
"Mantap kiriman cepat, gratis ongkir semakin sering aja gua dapet thankyou My ShopeeðŸ˜˜ðŸ¥°",positif,Fulfillment
"Halo,saya tidak bisa membuka shopee video saat saya ingin membuka shopee video layar nya hitam tidak ada gambar saya sudah melaporkan ke sistem shopee dan saya sudah ber ulang ulang kali mengikuti cara nya tapi masih saja tidak bisa.padahal jaringan WiFi saya bagus tidak ada kendala.",negatif,System Availability
Tempat belanja online yg tiada tandingnya..respon admin oke cepat..dan tuntas....trims smoga selalu sukses.,positif,Responsiveness
Saya merasa puas dengan upaya aplikasi sopi dalam memerangi penipuan. Sopi memiliki tim keamanan yang secara aktif memantau dan melindungi pengguna dari penipuan toko jadi langsung di blokir jika ada toko mencurigakan,positif,Privacy
"Aplikasi ini cocok ny bukan buat belanja lgi, tapi lebih cocok buat ngelatih kesabaran atau naikin tensi juga boleh sih, lemot ny minta ampun,bukan karna HP, atau pun jaringan, buka APK belanja online yg warna biru atau APK lain lancar jaya... lah ini buka lama dikit kaku wkwkwk, pdhal ud lama pke APK ini, tolong hilangin video"" gak jls kyk Tik Tok gtu, dan yg gk penting lain nya..",negatif,Efficiency
"Kali ini ada kendala di ""update saldo"" bni tapcash. Tombol update saldonya tidak keluar. Jadi kalau mau update saya pakai app punya linkaja. Disini saya sudah pakai update app shopee terbaru. Tolong segera diperbaiki demi kenyamanan. Untuk lain2 msih oke, tidak ada masalah. NB: maaf pake bintang satu, supaya terlihat. Hehehe...",negatif,System Availability
"Barang rusak, dana kembali sipp*-*",positif,Compensation
Shopee sekarang gak nyaman kaya dulu. Cs onlinenya hanya sistem. Gak kaya dulu. Bener2 payah!!! Pindah ke Blibli ajalah jelas. Pantes temenku pada pindah ke sana semua.,negatif,Responsiveness
Bgt ada masalah telp costumer service langsung selesai masalah. Ok banget pokoknya shopee the best,positif,Responsiveness
"Saya sangat suka berbelanja disini, semua kebutuhan yang dicari selalu ada dan mempermudah pembelian dan juga banyak promo promo setiap waktu. Saya sangat suka dan puas berbelanja di Shopee. Yang penting jaringan okey mau apapun terasa nyaman tanpa ada kendala.",positif,Efficiency
Kurirnya gaak jelas tau pakai kurir yang mana. Gak ada informasi. Gak ada nomor telepon kurir.,negatif,Contact
"Senang belanja di shopee sangat membantu, semoga kedepannya terus ada perbaikan utk app.nya",positif,Efficiency
"aplikasi jelek, udah dikasih bukti barang cacat buat return malah tetep aja ga pernah di acc, padahal ada buktinya. apalgi kalo gaada",negatif,Compensation
Cape banget sama aplikasi ini keseringan salah kirim paket ke alamat rumah orang lain nyasar ke rumah orang lain ga ada tanggung jawabnya udah coba pengajuan pengembalian dana malah melar prosesnya. Sangat mengecewakan,negatif,Compensation
"Sangat puas, barangnya selalu real pic. Terima kasih shopee.",positif,Fulfillment
"Saya sgt menghargai upaya Shopee ini dlm menjaga privasi pelanggan. Aplikasi ini menggunakan enkripsi yang kuat jd dpt mencegah serangan dan kebocoran data. Keren, benar2 menghargai dan melindungi informasi pribadi pengguna..",positif,Privacy
"Aplikasinya bagus, keamanan transaksi dan kejelasan toko original di aplikasi semakin meningkat. Good job",positif,Privacy
"Lebih baik menghindari isi ulang e toll lewat shopee karena jika saldo tidak masuk akan ribet proses pengajuan pengembaliannya, via tlp lebih dari 15 menit sangat lamban bertele2 pertanyaan di ulang2 via chat live juga....",negatif,Compensation
"ketika saya menyukai barang, saya selalu menekan ikon cinta dan selalu masuk di fitur favorit saya tanpa kelewatan good banget",positif,System Availability
"Smoga kedepannya ada nomor kurir dan nama kurir yang dicantumkan, biar tidak pusing2 barang paketan lagi",negatif,Contact
Shopee sangat kerenðŸ‘. Bisa membantu masiarakat. Dalam jual beli barang apa saja lengkap. Semoga kedepan nya tambah bermanfat bagi masiarakat. Dan Sukses lelalu ðŸ™ðŸ˜Š,positif,Efficiency
Saya tidak was was akan peretasan karena saya sudah mengaktifkan verifikasi 2 faktor jadi bisa terlindungi,positif,Privacy
"Bisa chatan dngan penjual,,saya ada pertanyaan bisa bertanya ke penjual lngsung,,",positif,Contact
Cepat sekali pengiriman nya .... pemesanan barang sesuai yg di ingin kan ... mantapp sekali.... ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘.. Puasssssssss bangeettt,positif,Fulfillment
Habis di update malah sering keluar sendiri.. Ancur !,negatif,System Availability
"Hallo shopee saya cuku ke cewa dengan kinerja kalian dalam proses pengembalian dana, prosesnya tidak terlalu sulit tapi durasinya sangat lama, saya telah gagal membeli barang karena toko terdeteksi transaksi yg aneh, padahal saya cuma mau rekber laptop ke penjualnya, tapi gagal dan pengembalian dananya sangat lama sudah 3 hari dari hari transaksi saya dana juga belum kembali, tolong lebih sigap lagi dalam kasus seperti ini.",negatif,Compensation
"Pelayanannya cukup baik tdk ribet saat mau retur pesanan ke seller atau saat terjadi barang hilang (barang tdk sampe ke pemesan), uang pengembalian barang yg diretur langsung masuk ke shopee pay...mantap deh ðŸ‘",positif,Compensation
Apk Shopee ini sangat membantu sekali Bisa menjual berbagai item yang aku butuhkan.,positif,Efficiency
"aplikasi amat sangat lemot, walaupun di gunakan di processor SDM 8 gen 1 dengan RAM 6GB, jaringan 5G, masih sangat lmbat untuk transaksi pembayaran lading sangat lambat, padahal rutin clear chache aplikasi",negatif,Efficiency
Belanja di Shopee sangat memuaskan dan cepat pengirimannya.. packing nya sangat rapi dan produknya sesuai yg diharapkan.. TOP Shopee..,positif,Fulfillment
"Kualitas barang di shopee tidak mengecewakan, pedagang ramah dan pengiriman barang tepat waktu. Sukses selalu untuk shopeeðŸ‘ðŸ‘",positif,Fulfillment
"Pesanan tidak sampai sudah 15 hari pesanan tidak sampai-sampai, sudah pengajuan pengembalian info dari aplikasi Shopee di proses 3x24 jam tapi tidak ada proses kelanjutan sampai saya menunggu lebih dari 5x24 jam, tidak ada itikad baik dari Shopee maupun resellernya untuk kejelasan komplen saya, terimakasih @mimin Shopeecare telah membantu prosesnyaðŸ™",negatif,Compensation
"Banyak pilihan menghubungi agen shopee salah satunya lewat email, udah oke",positif,Contact
Saya bisa mengobrol ke sesama pengguna karena ada fasilitas chat hihi seruu,positif,Contact
Pusat bantuan nggk jelas harus ngehubungi dimana,negatif,Contact
Seller ketika saya ada masalah mau diajak berdiskusi dan responsnya slalu baik,positif,Responsiveness
"Saran buat shopee, adakan nomor telepon di detail info penjual biar semua pelayanan menjadi lebih baik",negatif,Contact
"Ok, shopee. Problemku udah teratasi.. Trims atas responnyaðŸ™ðŸ™ðŸ™",positif,Responsiveness
"Sekarang ada biaya tambahan admin, ga asik. Juga aplikasinya kadang kumatnya lemot padahal buka apk lain lancar",negatif,Efficiency
Proses pengembalian dana atau biaya yang susah karena pesanan yang tidak sesuai,positif,Compensation
"emang bener ini aplikasi berat banget, loading lama buka halaman susah, dan klo hp cuma ram kecil mending jangan pake shope, berat",negatif,Efficiency
"Sangat sangat memuaskan belanja disini, dan sangat baik tingkat keamanan dalam belanja disini kalau kita mengikuti prosedur yang ada, terimakasih shopee ðŸ™ðŸ™ðŸ™",positif,Privacy
lebih baik baik dari segi pelayanannya dan keamanannya,positif,Privacy
"sekarang aplikasinya berat,,lemot,,di kira jaringan ternyata bukan,,,mohon di perbaiki",negatif,Efficiency
"saya beli hp realme di shopee mall, pas datang barang cacat di layar (saya punya bukti video unboxing), udah dibalikin dan sampai d gudang shopee ternyata pengajuan ditolak tdak ada alasan apapun,pesanan diselesaikan barang tidak terima dan uang tidak kembali, tolong shopee selesaikan masalah ini segera.",negatif,Compensation
Biasa pake ini Menu aplikasinya mudah dipahami Belanja jadi enak,positif,Efficiency
"Shope memiliki fitur keamanan berupa pemantauan transaksi mencurigakan untuk melindungi akun pengguna, jadi saya tidak berpikir 2 kali untuk mendaftarkan akun saya agar bisa belanja online",positif,Privacy
"Aplikasi memberikan kompensasi jika barang yang datang tidak sesuai, hilang, atau rusak",positif,Compensation
